sai,sbi,sci,sa,sb,sc,dist
11,22,3,Run1_C_29,Run1_C_42,Run1_C_12,1.9213
0,23,1,Run1_C_23,Run1_C_24,Run1_C_38,1.1273
20,18,14,Run1_C_25,Run1_C_34,Run1_C_45,0.1784
1,13,23,Run1_C_38,Run1_C_16,Run1_C_24,2.3824
14,15,21,Run1_C_45,Run1_C_21,Run1_C_31,0.2128
11,15,16,Run1_C_29,Run1_C_21,Run1_C_41,0.5062
1,5,16,Run1_C_38,Run1_C_18,Run1_C_41,0.0569
1,7,8,Run1_C_38,Run1_C_43,Run1_C_40,2.4878
23,17,7,Run1_C_24,Run1_C_26,Run1_C_43,2.9804
10,2,5,Run1_C_33,Run1_C_32,Run1_C_18,4.8287
1,13,16,Run1_C_38,Run1_C_16,Run1_C_41,2.6443
16,2,11,Run1_C_41,Run1_C_32,Run1_C_29,1.4904
16,2,1,Run1_C_41,Run1_C_32,Run1_C_38,1.7075
1,5,18,Run1_C_38,Run1_C_18,Run1_C_34,0.2925
11,7,23,Run1_C_29,Run1_C_43,Run1_C_24,1.5325
0,17,4,Run1_C_23,Run1_C_26,Run1_C_36,1.0817
7,22,9,Run1_C_43,Run1_C_42,Run1_C_44,4.629
5,22,3,Run1_C_18,Run1_C_42,Run1_C_12,1.7022
16,15,1,Run1_C_41,Run1_C_21,Run1_C_38,0.0934
5,15,20,Run1_C_18,Run1_C_21,Run1_C_25,2.5526
11,13,0,Run1_C_29,Run1_C_16,Run1_C_23,3.6692
1,21,5,Run1_C_38,Run1_C_31,Run1_C_18,2.0688
10,23,18,Run1_C_33,Run1_C_24,Run1_C_34,0.5843
12,22,8,Run1_C_35,Run1_C_42,Run1_C_40,0.6125
11,15,19,Run1_C_29,Run1_C_21,Run1_C_22,0.7064
17,19,1,Run1_C_26,Run1_C_22,Run1_C_38,0.7109
4,22,8,Run1_C_36,Run1_C_42,Run1_C_40,0.9712
13,7,18,Run1_C_16,Run1_C_43,Run1_C_34,0.3729
11,18,0,Run1_C_29,Run1_C_34,Run1_C_23,0.998
8,2,15,Run1_C_40,Run1_C_32,Run1_C_21,0.3961
8,17,22,Run1_C_40,Run1_C_26,Run1_C_42,2.8273
7,22,10,Run1_C_43,Run1_C_42,Run1_C_33,4.6275
8,3,18,Run1_C_40,Run1_C_12,Run1_C_34,0.2027
0,20,12,Run1_C_23,Run1_C_25,Run1_C_35,0.6985
1,11,17,Run1_C_38,Run1_C_29,Run1_C_26,2.2763
